angular_velocity_ground_truth,angular_velocity_odometry,left_wheel_angular_ground_truth,left_wheel_angular_odometry,linear_velocity_ground_truth,linear_velocity_odometry,right_wheel_angular_ground_truth,right_wheel_angular_odometry,time_interval
0.20424660143984322,0.34378391873137437,2.7194071108772913,2.729801564893809,0.27701760300645145,0.3,3.436539622599408,3.936865101772857,5.100000000000001
0.31352666184291655,0.2893266683011587,2.4681656658447135,2.825404293426854,0.271672122497205,0.3,3.5689926118709536,3.841262373239812,5.250000000000002
0.29433923052189065,0.0513132658973601,2.794085796310577,3.2432500443135233,0.29797332009041066,0.3,3.827543539031882,3.423416622353143,5.400000000000002
0.18987245963509453,-0.21706317137194708,3.1196945081155407,3.7143997897418624,0.3107723543527436,0.3,3.7863578108343168,2.9522668769248037,5.5500000000000025
0.008997087936908213,-0.37209141306656335,3.8630852433085647,3.9865604807168555,0.3490992117918023,0.3,3.8946750187314865,2.6801061859498105,5.700000000000003
-0.13694049896419913,-0.41840648787525764,3.9677477786633997,4.06786916760323,0.3354607012433625,0.3,3.486934471189101,2.598797499063436,5.850000000000003
-0.35853913658222947,-0.42365908068931546,4.061316907018453,4.07709038609902,0.3088693380516685,0.3,2.8024461607964026,2.5895762805676457,6.0000000000000036
-0.38099903363308746,0.24466002403150994,4.264735468589163,2.90381906892246,0.32362834485899683,0.3,2.927005528277433,3.762847597744206,6.150000000000004
-0.22367405520689598,0.1467994326536085,3.425465910290637,3.075618773785887,0.27295143120346776,0.3,2.6401214497864243,3.591047892880779,6.300000000000004
-0.010471318549909773,0.08165816927649154,3.0406929949375603,3.189977880603492,0.27200790121349466,0.3,3.003927032028988,3.476688786063174,6.450000000000005
0.054775779173511695,0.0474589112432142,3.165548667077388,3.2500165780396904,0.2935539531463798,0.3,3.3578725139532737,3.4166500886269757,6.600000000000005
0.05610686262878253,0.032930304268232416,3.04913615413121,3.2755223547291026,0.2832871381671565,0.3,3.2461335829167126,3.3911443119375635,6.750000000000005
0.04779212175604809,-0.018366202521480086,3.021892626919986,3.3655762222043757,0.27952149166025436,0.3,3.1896960766412215,3.3010904444622904,6.900000000000006
0.02035453130762687,-0.14972922133754518,3.2999270738835067,3.596191299681468,0.30020945259612064,0.3,3.3713940949191743,3.0704753669851983,7.050000000000006
-0.052261843906821065,-0.32149089917799717,3.5160177022689396,3.897728467445817,0.30818422186692684,0.3,3.3325205614405453,2.768938199220849,7.200000000000006
-0.18124753214399056,-0.41752639048562196,3.850324386755372,4.066324107741425,0.31789208472923297,0.3,3.213944162783138,2.600342558925241,7.350000000000007
-0.3131884380121934,-0.4425564739618745,3.8729899722618755,4.110265809844179,0.29908532429764223,0.3,2.7733505676857297,2.5564008568224867,7.500000000000007
-0.4068416958701848,-0.4410770131854639,4.212735205443345,4.107668534258925,0.31486518054241186,0.3,2.784268806610252,2.5589981324077407,7.6500000000000075
-0.4259737783441907,-0.4282256715030718,4.141298910885673,4.077201112370245,0.30541304500132843,0.2992884440158367,2.645657644699403,2.5736531990927927,7.800000000000008
-0.44627054570053376,-0.41700523334549155,4.04026951608248,4.039162121073901,0.2931135102267389,0.29763776402806347,2.4733640445117175,2.5750104128830644,7.950000000000008
-0.4356944038376058,-0.40431698851555165,4.123621812404076,3.9925620071769528,0.3022862473100252,0.2954484964604686,2.5938503500409276,2.5729601363890158,8.100000000000009
